OrderNumber,WarehouseCode,Order Date,Ship Date,Category,Sales Channel,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Sales,Quantity,Discount,Profit
SO - 000101,WARE-UHY1004,08-11-2016,11-11-2016,Furniture,In-Store,USD,6,15,259,12,261.96,2,0,41.9136
SO - 000102,WARE-NMK1003,08-11-2016,11-11-2016,Furniture,In-Store,USD,14,20,196,27,731.94,3,0,219.582
SO - 000103,WARE-UHY1004,12-06-2016,16-06-2016,Office Supplies,Online,USD,21,16,213,16,14.62,2,0,6.8714
SO - 000104,WARE-NMK1003,11-10-2015,18-10-2015,Furniture,In-Store,USD,28,48,107,23,957.5775,5,0.45,-383.031
SO - 000105,WARE-NMK1003,11-10-2015,18-10-2015,Office Supplies,Online,USD,22,49,111,26,22.368,2,0.2,2.5164
SO - 000106,WARE-PUJ1005,09-06-2014,14-06-2014,Furniture,In-Store,USD,12,21,285,1,48.86,7,0,14.1694
SO - 000107,WARE-XYS1001,09-06-2014,14-06-2014,Office Supplies,Online,USD,10,14,6,5,7.28,4,0,1.9656
SO - 000108,WARE-PUJ1005,09-06-2014,14-06-2014,Technology,Wholesale,USD,6,9,280,46,907.152,6,0.2,90.7152
SO - 000109,WARE-PUJ1005,09-06-2014,14-06-2014,Office Supplies,Online,USD,4,9,299,47,18.504,3,0.2,5.7825
SO - 000110,WARE-UHY1004,09-06-2014,14-06-2014,Office Supplies,Online,USD,10,33,261,13,114.9,5,0,34.47
SO - 000111,WARE-XYS1001,09-06-2014,14-06-2014,Furniture,In-Store,USD,23,21,17,38,1706.184,9,0.2,85.3092
SO - 000112,WARE-NMK1003,09-06-2014,14-06-2014,Technology,Wholesale,USD,10,21,152,40,911.424,4,0.2,68.3568
SO - 000113,WARE-PUJ1005,15-04-2017,20-04-2017,Office Supplies,Online,USD,4,36,317,39,15.552,3,0.2,5.4432
SO - 000114,WARE-PUJ1005,05-12-2016,10-12-2016,Office Supplies,Online,USD,8,17,291,32,407.976,3,0.2,132.5922
SO - 000115,WARE-NMK1003,22-11-2015,26-11-2015,Office Supplies,Online,USD,9,32,138,6,68.81,5,0.8,-123.858
SO - 000116,WARE-MKL1006,22-11-2015,26-11-2015,Office Supplies,Online,USD,5,11,354,25,2.544,3,0.8,-3.816
SO - 000117,WARE-PUJ1005,11-11-2014,18-11-2014,Office Supplies,Online,USD,9,10,320,6,665.88,6,0,13.3176
SO - 000118,WARE-XYS1001,13-05-2014,15-05-2014,Office Supplies,Online,USD,8,30,21,3,55.5,2,0,9.99
SO - 000119,WARE-MKL1006,27-08-2014,01-09-2014,Office Supplies,Online,USD,5,5,349,20,8.56,2,0,2.4824
SO - 000120,WARE-NMK1003,27-08-2014,01-09-2014,Technology,Wholesale,USD,14,23,134,24,213.48,3,0.2,16.011
SO - 000121,WARE-NMK1003,27-08-2014,01-09-2014,Office Supplies,Online,USD,25,46,193,33,22.72,4,0.2,7.384
SO - 000122,WARE-PUJ1005,09-12-2016,13-12-2016,Office Supplies,Online,USD,2,14,282,1,19.46,7,0,5.0596
SO - 000123,WARE-XYS1001,09-12-2016,13-12-2016,Office Supplies,Online,USD,7,40,20,35,60.34,7,0,15.6884
